aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
54,120,2023-07-03:18,7,63,26,14,31,2023-07-03T23:30:00,2023-07-03T18:00:00,1688407200
78,115.3,2023-07-03:17,7,68.7,30.7,25,38,2023-07-03T22:30:00,2023-07-03T17:00:00,1688403600
82,110.7,2023-07-03:16,7,74.3,35.3,27,45,2023-07-03T21:30:00,2023-07-03T16:00:00,1688400000
100,106,2023-07-03:15,7,80,40,35,52,2023-07-03T20:30:00,2023-07-03T15:00:00,1688396400
134,104.7,2023-07-03:14,6,77,38.3,28.75,42.7,2023-07-03T19:30:00,2023-07-03T14:00:00,1688392800
131,103.3,2023-07-03:13,5,74,36.7,27.5,33.3,2023-07-03T18:30:00,2023-07-03T13:00:00,1688389200
85,102,2023-07-03:12,4,71,35,28,24,2023-07-03T17:30:00,2023-07-03T12:00:00,1688385600
74,103.3,2023-07-03:11,3.7,66.7,30.3,23,19,2023-07-03T16:30:00,2023-07-03T11:00:00,1688382000
72,104.7,2023-07-03:10,3.3,62.3,25.7,22,14,2023-07-03T15:30:00,2023-07-03T10:00:00,1688378400
82,106,2023-07-03:09,3,58,21,15.75,9,2023-07-03T14:30:00,2023-07-03T09:00:00,1688374800
85,107.3,2023-07-03:08,4,53,20.3,15.25,10.7,2023-07-03T13:30:00,2023-07-03T08:00:00,1688371200
80,108.7,2023-07-03:07,5,48,19.7,14.75,12.3,2023-07-03T12:30:00,2023-07-03T07:00:00,1688367600
91,110,2023-07-03:06,6,43,19,14.25,14,2023-07-03T11:30:00,2023-07-03T06:00:00,1688364000
93,110,2023-07-03:05,6.3,41.7,20.3,15.25,16.7,2023-07-03T10:30:00,2023-07-03T05:00:00,1688360400
98,110,2023-07-03:04,6.7,40.3,21.7,16.25,19.3,2023-07-03T09:30:00,2023-07-03T04:00:00,1688356800
98,110,2023-07-03:03,7,39,23,17.25,22,2023-07-03T08:30:00,2023-07-03T03:00:00,1688353200
102,104.7,2023-07-03:02,6,44.3,25.7,19.25,21.3,2023-07-03T07:30:00,2023-07-03T02:00:00,1688349600
82,99.3,2023-07-03:01,5,49.7,28.3,27,20.7,2023-07-03T06:30:00,2023-07-03T01:00:00,1688346000
76,94,2023-07-03:00,4,55,31,24,20,2023-07-03T05:30:00,2023-07-03T00:00:00,1688342400
67,97.7,2023-07-02:23,4.3,54,28.3,20,18.3,2023-07-03T04:30:00,2023-07-02T23:00:00,1688338800
61,101.3,2023-07-02:22,4.7,53,25.7,17,16.7,2023-07-03T03:30:00,2023-07-02T22:00:00,1688335200
56,105,2023-07-02:21,5,52,23,15,15,2023-07-03T02:30:00,2023-07-02T21:00:00,1688331600
46,97.7,2023-07-02:20,3.7,57.3,28.3,11,12,2023-07-03T01:30:00,2023-07-02T20:00:00,1688328000
56,90.3,2023-07-02:19,2.3,62.7,33.7,15,9,2023-07-03T00:30:00,2023-07-02T19:00:00,1688324400
76,83,2023-07-02:18,1,68,39,24,6,2023-07-02T23:30:00,2023-07-02T18:00:00,1688320800
72,88.7,2023-07-02:17,1.3,72,39.3,22,6.7,2023-07-02T22:30:00,2023-07-02T17:00:00,1688317200
67,94.3,2023-07-02:16,1.7,76,39.7,20,7.3,2023-07-02T21:30:00,2023-07-02T16:00:00,1688313600
69,100,2023-07-02:15,2,80,40,21,8,2023-07-02T20:30:00,2023-07-02T15:00:00,1688310000
82,104,2023-07-02:14,2.3,83,38.7,27,8,2023-07-02T19:30:00,2023-07-02T14:00:00,1688306400
85,108,2023-07-02:13,2.7,86,37.3,28,8,2023-07-02T18:30:00,2023-07-02T13:00:00,1688302800
82,112,2023-07-02:12,3,89,36,27,8,2023-07-02T17:30:00,2023-07-02T12:00:00,1688299200
82,116,2023-07-02:11,2.7,91.3,36.7,27,8.7,2023-07-02T16:30:00,2023-07-02T11:00:00,1688295600
102,120,2023-07-02:10,2.3,93.7,37.3,36,9.3,2023-07-02T15:30:00,2023-07-02T10:00:00,1688292000
93,124,2023-07-02:09,2,96,38,32,10,2023-07-02T14:30:00,2023-07-02T09:00:00,1688288400
85,123.7,2023-07-02:08,2.7,87.7,37,28,11,2023-07-02T13:30:00,2023-07-02T08:00:00,1688284800
95,123.3,2023-07-02:07,3.3,79.3,36,33,12,2023-07-02T12:30:00,2023-07-02T07:00:00,1688281200
102,123,2023-07-02:06,4,71,35,26.25,13,2023-07-02T11:30:00,2023-07-02T06:00:00,1688277600
110,118.7,2023-07-02:05,4.3,64.3,37.7,28.25,12.7,2023-07-02T10:30:00,2023-07-02T05:00:00,1688274000
98,114.3,2023-07-02:04,4.7,57.7,40.3,34,12.3,2023-07-02T09:30:00,2023-07-02T04:00:00,1688270400
93,110,2023-07-02:03,5,51,43,32,12,2023-07-02T08:30:00,2023-07-02T03:00:00,1688266800
82,108.7,2023-07-02:02,5,52,41.7,27,12.3,2023-07-02T07:30:00,2023-07-02T02:00:00,1688263200
89,107.3,2023-07-02:01,5,53,40.3,30,12.7,2023-07-02T06:30:00,2023-07-02T01:00:00,1688259600
76,106,2023-07-02:00,5,54,39,24,13,2023-07-02T05:30:00,2023-07-02T00:00:00,1688256000
69,108.3,2023-07-01:23,5,57,44.7,21,15,2023-07-02T04:30:00,2023-07-01T23:00:00,1688252400
65,110.7,2023-07-01:22,5,60,50.3,19,17,2023-07-02T03:30:00,2023-07-01T22:00:00,1688248800
72,113,2023-07-01:21,5,63,56,22,19,2023-07-02T02:30:00,2023-07-01T21:00:00,1688245200
74,103.3,2023-07-01:20,3.7,73,53.7,23,16,2023-07-02T01:30:00,2023-07-01T20:00:00,1688241600
69,93.7,2023-07-01:19,2.3,83,51.3,21,13,2023-07-02T00:30:00,2023-07-01T19:00:00,1688238000
85,84,2023-07-01:18,1,93,49,28,10,2023-07-01T23:30:00,2023-07-01T18:00:00,1688234400
80,88,2023-07-01:17,1,95.3,46,26,9.7,2023-07-01T22:30:00,2023-07-01T17:00:00,1688230800
89,92,2023-07-01:16,1,97.7,43,30,9.3,2023-07-01T21:30:00,2023-07-01T16:00:00,1688227200
91,96,2023-07-01:15,1,100,40,31,9,2023-07-01T20:30:00,2023-07-01T15:00:00,1688223600
82,98.3,2023-07-01:14,1,99,38.3,27,7,2023-07-01T19:30:00,2023-07-01T14:00:00,1688220000
65,100.7,2023-07-01:13,1,98,36.7,19,5,2023-07-01T18:30:00,2023-07-01T13:00:00,1688216400
63,103,2023-07-01:12,1,97,35,18,3,2023-07-01T17:30:00,2023-07-01T12:00:00,1688212800
87,166,2023-07-01:11,2.7,91.9,27.5,20.6,5,2023-07-01T16:30:00,2023-07-01T11:00:00,1688209200
82,229,2023-07-01:10,4.3,86.8,19.9,14.95,7,2023-07-01T15:30:00,2023-07-01T10:00:00,1688205600
63,291.9,2023-07-01:09,6,81.8,12.4,9.3,9,2023-07-01T14:30:00,2023-07-01T09:00:00,1688202000
72,302.3,2023-07-01:08,6.1,82.2,13.1,9.86,9.8,2023-07-01T13:30:00,2023-07-01T08:00:00,1688198400
74,312.7,2023-07-01:07,6.1,82.5,13.9,10.41,10.7,2023-07-01T12:30:00,2023-07-01T07:00:00,1688194800
69,323.1,2023-07-01:06,6.1,82.9,14.6,10.96,11.5,2023-07-01T11:30:00,2023-07-01T06:00:00,1688191200
65,367.8,2023-07-01:05,8.3,63.8,13.6,10.23,10.6,2023-07-01T10:30:00,2023-07-01T05:00:00,1688187600
78,412.5,2023-07-01:04,10.4,44.7,12.7,9.5,9.8,2023-07-01T09:30:00,2023-07-01T04:00:00,1688184000
78,457.2,2023-07-01:03,12.5,25.5,11.7,8.77,8.9,2023-07-01T08:30:00,2023-07-01T03:00:00,1688180400
87,447.3,2023-07-01:02,12.7,23.2,11,8.25,8,2023-07-01T07:30:00,2023-07-01T02:00:00,1688176800
80,437.4,2023-07-01:01,13,20.9,10.3,7.73,7.1,2023-07-01T06:30:00,2023-07-01T01:00:00,1688173200
69,427.5,2023-07-01:00,13.2,18.6,9.6,7.21,6.3,2023-07-01T05:30:00,2023-07-01T00:00:00,1688169600
67,432.6,2023-06-30:23,13.5,21,10.1,7.59,6.3,2023-07-01T04:30:00,2023-06-30T23:00:00,1688166000
72,437.6,2023-06-30:22,13.8,23.4,10.6,7.98,6.4,2023-07-01T03:30:00,2023-06-30T22:00:00,1688162400
74,442.6,2023-06-30:21,14.1,25.7,11.2,8.37,6.4,2023-07-01T02:30:00,2023-06-30T21:00:00,1688158800
54,482.2,2023-06-30:20,16.5,31.2,17.2,14,8.5,2023-07-01T01:30:00,2023-06-30T20:00:00,1688155200
65,521.8,2023-06-30:19,18.9,36.7,23.3,19,10.6,2023-07-01T00:30:00,2023-06-30T19:00:00,1688151600
46,561.4,2023-06-30:18,21.3,42.1,29.3,11,12.6,2023-06-30T23:30:00,2023-06-30T18:00:00,1688148000
42,551.1,2023-06-30:17,21.3,50.2,33.1,10,13.3,2023-06-30T22:30:00,2023-06-30T17:00:00,1688144400
72,540.9,2023-06-30:16,21.4,58.3,36.9,22,13.9,2023-06-30T21:30:00,2023-06-30T16:00:00,1688140800
107,530.7,2023-06-30:15,21.5,66.4,40.8,38,14.5,2023-06-30T20:30:00,2023-06-30T15:00:00,1688137200
112,489.7,2023-06-30:14,20.4,67.7,33.4,25.02,15.4,2023-06-30T19:30:00,2023-06-30T14:00:00,1688133600
137,448.7,2023-06-30:13,19.4,68.9,26,19.48,16.2,2023-06-30T18:30:00,2023-06-30T13:00:00,1688130000
134,407.8,2023-06-30:12,18.3,70.2,18.6,13.94,17,2023-06-30T17:30:00,2023-06-30T12:00:00,1688126400
91,301.2,2023-06-30:11,12.5,83.4,25.4,19.04,15.3,2023-06-30T16:30:00,2023-06-30T11:00:00,1688122800
54,194.6,2023-06-30:10,6.8,96.7,32.2,14,13.7,2023-06-30T15:30:00,2023-06-30T10:00:00,1688119200
69,88,2023-06-30:09,1,110,39,21,12,2023-06-30T14:30:00,2023-06-30T09:00:00,1688115600
65,89.3,2023-06-30:08,1,102,35.7,19,10.3,2023-06-30T13:30:00,2023-06-30T08:00:00,1688112000
72,90.7,2023-06-30:07,1,94,32.3,22,8.7,2023-06-30T12:30:00,2023-06-30T07:00:00,1688108400
69,92,2023-06-30:06,1,86,29,21,7,2023-06-30T11:30:00,2023-06-30T06:00:00,1688104800
65,93.3,2023-06-30:05,2.3,73.7,26,19,9,2023-06-30T10:30:00,2023-06-30T05:00:00,1688101200
56,94.7,2023-06-30:04,3.7,61.3,23,15,11,2023-06-30T09:30:00,2023-06-30T04:00:00,1688097600
65,96,2023-06-30:03,5,49,20,19,13,2023-06-30T08:30:00,2023-06-30T03:00:00,1688094000
72,101.7,2023-06-30:02,7.7,44.7,21.7,16.25,17.3,2023-06-30T07:30:00,2023-06-30T02:00:00,1688090400
59,107.3,2023-06-30:01,10.3,40.3,23.3,16,21.7,2023-06-30T06:30:00,2023-06-30T01:00:00,1688086800
29,113,2023-06-30:00,13,36,25,7,26,2023-06-30T05:30:00,2023-06-30T00:00:00,1688083200
29,111.3,2023-06-29:23,15,38.7,31,6,37,2023-06-30T04:30:00,2023-06-29T23:00:00,1688079600
37,109.7,2023-06-29:22,17,41.3,37,9,48,2023-06-30T03:30:00,2023-06-29T22:00:00,1688076000
40,108,2023-06-29:21,19,44,43,5,59,2023-06-30T02:30:00,2023-06-29T21:00:00,1688072400
42,96.7,2023-06-29:20,14.3,57.3,45.7,2,48.7,2023-06-30T01:30:00,2023-06-29T20:00:00,1688068800
45,85.3,2023-06-29:19,9.7,70.7,48.3,6,38.3,2023-06-30T00:30:00,2023-06-29T19:00:00,1688065200
50,74,2023-06-29:18,5,84,51,12,28,2023-06-29T23:30:00,2023-06-29T18:00:00,1688061600
51,79,2023-06-29:17,4,98.7,55.3,10,37.3,2023-06-29T22:30:00,2023-06-29T17:00:00,1688058000
54,84,2023-06-29:16,3,113.3,59.7,14,46.7,2023-06-29T21:30:00,2023-06-29T16:00:00,1688054400
60,89,2023-06-29:15,2,128,64,14,56,2023-06-29T20:30:00,2023-06-29T15:00:00,1688050800
60,90.3,2023-06-29:14,1.7,128.3,59.3,16,54,2023-06-29T19:30:00,2023-06-29T14:00:00,1688047200
80,91.7,2023-06-29:13,1.3,128.7,54.7,26,52,2023-06-29T18:30:00,2023-06-29T13:00:00,1688043600
72,93,2023-06-29:12,1,129,50,22,50,2023-06-29T17:30:00,2023-06-29T12:00:00,1688040000
59,92.7,2023-06-29:11,1,126.3,46.7,16,39.3,2023-06-29T16:30:00,2023-06-29T11:00:00,1688036400
59,92.3,2023-06-29:10,1,123.7,43.3,16,28.7,2023-06-29T15:30:00,2023-06-29T10:00:00,1688032800
56,92,2023-06-29:09,1,121,40,15,18,2023-06-29T14:30:00,2023-06-29T09:00:00,1688029200
54,93,2023-06-29:08,1,116.3,39.7,13,17,2023-06-29T13:30:00,2023-06-29T08:00:00,1688025600
52,94,2023-06-29:07,1,111.7,39.3,12,16,2023-06-29T12:30:00,2023-06-29T07:00:00,1688022000
61,95,2023-06-29:06,1,107,39,17,15,2023-06-29T11:30:00,2023-06-29T06:00:00,1688018400
61,90,2023-06-29:05,1.7,94.7,36,17,13.7,2023-06-29T10:30:00,2023-06-29T05:00:00,1688014800
56,85,2023-06-29:04,2.3,82.3,33,15,12.3,2023-06-29T09:30:00,2023-06-29T04:00:00,1688011200
61,80,2023-06-29:03,3,70,30,17,11,2023-06-29T08:30:00,2023-06-29T03:00:00,1688007600
63,77.7,2023-06-29:02,3.3,67.7,28.3,18,11,2023-06-29T07:30:00,2023-06-29T02:00:00,1688004000
89,75.3,2023-06-29:01,3.7,65.3,26.7,20,11,2023-06-29T06:30:00,2023-06-29T01:00:00,1688000400
