aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
63,85,2023-07-03:18,4,35,26,18,16,2023-07-03T23:30:00,2023-07-03T18:00:00,1688407200
76,94.7,2023-07-03:17,4.7,34.7,29,24,18.3,2023-07-03T22:30:00,2023-07-03T17:00:00,1688403600
76,104.3,2023-07-03:16,5.3,34.3,32,24,20.7,2023-07-03T21:30:00,2023-07-03T16:00:00,1688400000
67,114,2023-07-03:15,6,34,35,20,23,2023-07-03T20:30:00,2023-07-03T15:00:00,1688396400
67,103.3,2023-07-03:14,5.3,38.3,34.3,20,24,2023-07-03T19:30:00,2023-07-03T14:00:00,1688392800
52,92.7,2023-07-03:13,4.7,42.7,33.7,13,25,2023-07-03T18:30:00,2023-07-03T13:00:00,1688389200
61,82,2023-07-03:12,4,47,33,17,26,2023-07-03T17:30:00,2023-07-03T12:00:00,1688385600
76,78.7,2023-07-03:11,3.3,54.7,30.7,24,25,2023-07-03T16:30:00,2023-07-03T11:00:00,1688382000
102,75.3,2023-07-03:10,2.7,62.3,28.3,21.25,24,2023-07-03T15:30:00,2023-07-03T10:00:00,1688378400
82,72,2023-07-03:09,2,70,26,19.5,23,2023-07-03T14:30:00,2023-07-03T09:00:00,1688374800
91,73.3,2023-07-03:08,1.7,72.3,26,19.5,25,2023-07-03T13:30:00,2023-07-03T08:00:00,1688371200
112,74.7,2023-07-03:07,1.3,74.7,26,19.5,27,2023-07-03T12:30:00,2023-07-03T07:00:00,1688367600
98,76,2023-07-03:06,1,77,26,19.5,29,2023-07-03T11:30:00,2023-07-03T06:00:00,1688364000
80,78.3,2023-07-03:05,1.7,71.3,25.7,19.25,27.7,2023-07-03T10:30:00,2023-07-03T05:00:00,1688360400
76,80.7,2023-07-03:04,2.3,65.7,25.3,24,26.3,2023-07-03T09:30:00,2023-07-03T04:00:00,1688356800
76,83,2023-07-03:03,3,60,25,24,25,2023-07-03T08:30:00,2023-07-03T03:00:00,1688353200
68,83.7,2023-07-03:02,3,56.3,23.7,20.33,21.3,2023-07-03T07:30:00,2023-07-03T02:00:00,1688349600
60,84.3,2023-07-03:01,3,52.7,22.3,16.67,17.7,2023-07-03T06:30:00,2023-07-03T01:00:00,1688346000
52,85,2023-07-03:00,3,49,21,13,14,2023-07-03T05:30:00,2023-07-03T00:00:00,1688342400
52,86.3,2023-07-02:23,3.3,48.7,21.3,13,14.3,2023-07-03T04:30:00,2023-07-02T23:00:00,1688338800
52,87.7,2023-07-02:22,3.7,48.3,21.7,13,14.7,2023-07-03T03:30:00,2023-07-02T22:00:00,1688335200
52,89,2023-07-02:21,4,48,22,13,15,2023-07-03T02:30:00,2023-07-02T21:00:00,1688331600
52,89,2023-07-02:20,3.7,49,21.7,13,15.3,2023-07-03T01:30:00,2023-07-02T20:00:00,1688328000
52,89,2023-07-02:19,3.3,50,21.3,13,15.7,2023-07-03T00:30:00,2023-07-02T19:00:00,1688324400
52,89,2023-07-02:18,3,51,21,13,16,2023-07-02T23:30:00,2023-07-02T18:00:00,1688320800
56,95,2023-07-02:17,3.7,49.3,24,15,18,2023-07-02T22:30:00,2023-07-02T17:00:00,1688317200
61,101,2023-07-02:16,4.3,47.7,27,17,20,2023-07-02T21:30:00,2023-07-02T16:00:00,1688313600
65,107,2023-07-02:15,5,46,30,19,22,2023-07-02T20:30:00,2023-07-02T15:00:00,1688310000
68,100.3,2023-07-02:14,4.7,49.3,32.7,20.33,23.3,2023-07-02T19:30:00,2023-07-02T14:00:00,1688306400
71,93.7,2023-07-02:13,4.3,52.7,35.3,21.67,24.7,2023-07-02T18:30:00,2023-07-02T13:00:00,1688302800
74,87,2023-07-02:12,4,56,38,23,26,2023-07-02T17:30:00,2023-07-02T12:00:00,1688299200
69,84.7,2023-07-02:11,3.7,61.3,35,21,27.3,2023-07-02T16:30:00,2023-07-02T11:00:00,1688295600
65,82.3,2023-07-02:10,3.3,66.7,32,19,28.7,2023-07-02T15:30:00,2023-07-02T10:00:00,1688292000
61,80,2023-07-02:09,3,72,29,17,30,2023-07-02T14:30:00,2023-07-02T09:00:00,1688288400
62,80,2023-07-02:08,2.7,76.7,30,17.67,30,2023-07-02T13:30:00,2023-07-02T08:00:00,1688284800
64,80,2023-07-02:07,2.3,81.3,31,18.33,30,2023-07-02T12:30:00,2023-07-02T07:00:00,1688281200
65,80,2023-07-02:06,2,86,32,19,30,2023-07-02T11:30:00,2023-07-02T06:00:00,1688277600
62,84,2023-07-02:05,2.3,81,29,17.33,29,2023-07-02T10:30:00,2023-07-02T05:00:00,1688274000
58,88,2023-07-02:04,2.7,76,26,15.67,28,2023-07-02T09:30:00,2023-07-02T04:00:00,1688270400
54,92,2023-07-02:03,3,71,23,14,27,2023-07-02T08:30:00,2023-07-02T03:00:00,1688266800
53,89.7,2023-07-02:02,3,68,21.7,13.33,23,2023-07-02T07:30:00,2023-07-02T02:00:00,1688263200
51,87.3,2023-07-02:01,3,65,20.3,12.67,19,2023-07-02T06:30:00,2023-07-02T01:00:00,1688259600
50,85,2023-07-02:00,3,62,19,12,15,2023-07-02T05:30:00,2023-07-02T00:00:00,1688256000
50,87,2023-07-01:23,3,62,19.3,12,15.3,2023-07-02T04:30:00,2023-07-01T23:00:00,1688252400
50,89,2023-07-01:22,3,62,19.7,12,15.7,2023-07-02T03:30:00,2023-07-01T22:00:00,1688248800
50,91,2023-07-01:21,3,62,20,12,16,2023-07-02T02:30:00,2023-07-01T21:00:00,1688245200
51,92.3,2023-07-01:20,3.3,59.7,20.3,12.33,16.3,2023-07-02T01:30:00,2023-07-01T20:00:00,1688241600
51,93.7,2023-07-01:19,3.7,57.3,20.7,12.67,16.7,2023-07-02T00:30:00,2023-07-01T19:00:00,1688238000
52,95,2023-07-01:18,4,55,21,13,17,2023-07-01T23:30:00,2023-07-01T18:00:00,1688234400
57,103.7,2023-07-01:17,4.3,53.3,24.3,15.33,19,2023-07-01T22:30:00,2023-07-01T17:00:00,1688230800
62,112.3,2023-07-01:16,4.7,51.7,27.7,17.67,21,2023-07-01T21:30:00,2023-07-01T16:00:00,1688227200
67,121,2023-07-01:15,5,50,31,20,23,2023-07-01T20:30:00,2023-07-01T15:00:00,1688223600
66,114.3,2023-07-01:14,4.7,55.3,30.7,19.33,23.7,2023-07-01T19:30:00,2023-07-01T14:00:00,1688220000
64,107.7,2023-07-01:13,4.3,60.7,30.3,18.67,24.3,2023-07-01T18:30:00,2023-07-01T13:00:00,1688216400
63,101,2023-07-01:12,4,66,30,18,25,2023-07-01T17:30:00,2023-07-01T12:00:00,1688212800
76,246.7,2023-07-01:11,10,64.6,33.8,23.99,27.6,2023-07-01T16:30:00,2023-07-01T11:00:00,1688209200
89,392.5,2023-07-01:10,15.9,63.1,37.6,29.99,30.3,2023-07-01T15:30:00,2023-07-01T10:00:00,1688205600
102,538.2,2023-07-01:09,21.9,61.7,41.4,35.98,32.9,2023-07-01T14:30:00,2023-07-01T09:00:00,1688202000
100,525.1,2023-07-01:08,21.1,61.4,41.6,35.31,31.4,2023-07-01T13:30:00,2023-07-01T08:00:00,1688198400
99,511.9,2023-07-01:07,20.2,61,41.8,34.63,29.9,2023-07-01T12:30:00,2023-07-01T07:00:00,1688194800
97,498.8,2023-07-01:06,19.4,60.7,42,33.96,28.3,2023-07-01T11:30:00,2023-07-01T06:00:00,1688191200
110,546.6,2023-07-01:05,20,59,47.2,39.17,28,2023-07-01T10:30:00,2023-07-01T05:00:00,1688187600
124,594.3,2023-07-01:04,20.7,57.3,52.4,44.38,27.6,2023-07-01T09:30:00,2023-07-01T04:00:00,1688184000
138,642.1,2023-07-01:03,21.3,55.6,57.6,49.59,27.2,2023-07-01T08:30:00,2023-07-01T03:00:00,1688180400
127,592.5,2023-07-01:02,19.9,51.7,52.5,45.37,24.5,2023-07-01T07:30:00,2023-07-01T02:00:00,1688176800
116,542.9,2023-07-01:01,18.4,47.8,47.4,41.15,21.8,2023-07-01T06:30:00,2023-07-01T01:00:00,1688173200
104,493.3,2023-07-01:00,17,43.9,42.3,36.93,19,2023-07-01T05:30:00,2023-07-01T00:00:00,1688169600
100,496.9,2023-06-30:23,17.3,43,40.5,35.27,19.4,2023-07-01T04:30:00,2023-06-30T23:00:00,1688166000
97,500.5,2023-06-30:22,17.6,42.2,38.8,33.6,19.7,2023-07-01T03:30:00,2023-06-30T22:00:00,1688162400
93,504.1,2023-06-30:21,17.9,41.3,37,31.93,20,2023-07-01T02:30:00,2023-06-30T21:00:00,1688158800
